	Log_EEI_degree	Log_The number of genes	EEI_degree	The number of genes
0	0.0	5.093750200806762	1	163
1	0.6931471805599453	4.143134726391533	2	63
2	1.0986122886681098	3.1780538303479458	3	24
3	1.3862943611198906	1.9459101490553132	4	7
4	1.6094379124341003	1.0986122886681098	5	3
5	1.791759469228055	0.0	6	1
6	1.9459101490553132	0.0	7	1
7	2.1972245773362196	1.0986122886681098	9	3
8	2.302585092994046	0.0	10	1
